FIPS*,County name,RUC code,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2017,Change 2010-17
41000,Oregon,,"2,842,337","3,421,524","3,831,072","4,093,465",6.8%
41001,Baker County,7,"15,317","16,742","16,138","16,059",-0.5%
41003,Benton County,3,"70,811","78,143","85,581","89,385",4.4%
41005,Clackamas County,1,"278,850","338,407","375,998","408,062",8.5%
41007,Clatsop County,4,"33,301","35,634","37,029","38,632",4.3%
41009,Columbia County,1,"37,557","43,553","49,353","50,785",2.9%
41011,Coos County,5,"60,273","62,795","63,043","63,761",1.1%
41013,Crook County,6,"14,111","19,175","20,978","22,570",7.6%
41015,Curry County,7,"19,327","21,147","22,364","22,713",1.6%
41017,Deschutes County,3,"74,976","115,372","157,733","181,307",14.9%
41019,Douglas County,4,"94,649","100,375","107,667","108,457",0.7%
41021,Gilliam County,9,"1,717","1,910","1,873","1,854",-1.0%
41023,Grant County,9,"7,853","7,934","7,445","7,158",-3.9%
41025,Harney County,7,"7,060","7,606","7,422","7,292",-1.8%
41027,Hood River County,6,"16,903","20,407","22,346","23,232",4.0%
41029,Jackson County,3,"146,387","181,281","203,206","216,527",6.6%
41031,Jefferson County,6,"13,676","18,995","21,719","23,080",6.3%
41033,Josephine County,3,"62,649","75,729","82,713","85,904",3.9%
41035,Klamath County,5,"57,702","63,771","66,380","66,443",0.1%
41037,Lake County,7,"7,186","7,421","7,886","7,837",-0.6%
41039,Lane County,2,"282,912","323,011","351,724","369,519",5.1%
41041,Lincoln County,5,"38,889","44,481","46,032","47,806",3.9%
41043,Linn County,3,"91,227","103,079","116,672","122,849",5.3%
41045,Malheur County,6,"26,038","31,618","31,312","30,439",-2.8%
41047,Marion County,2,"228,483","284,844","315,335","336,316",6.7%
41049,Morrow County,6,"7,625","10,995","11,177","11,274",0.9%
41051,Multnomah County,1,"583,887","660,602","735,169","799,766",8.8%
41053,Polk County,2,"49,541","62,412","75,404","81,823",8.5%
41055,Sherman County,9,"1,918","1,934","1,766","1,710",-3.2%
41057,Tillamook County,6,"21,570","24,264","25,258","26,143",3.5%
41059,Umatilla County,4,"59,249","70,556","75,885","76,456",0.8%
41061,Union County,7,"23,598","24,522","25,744","26,087",1.3%
41063,Wallowa County,9,"6,911","7,230","7,008","6,946",-0.9%
41065,Wasco County,6,"21,683","23,797","25,211","26,115",3.6%
41067,Washington County,1,"311,554","445,256","529,872","582,779",10.0%
41069,Wheeler County,9,"1,396","1,551","1,439","1,344",-6.6%
41071,Yamhill County,1,"65,551","84,975","99,190","105,035",5.9%